Tycho2|m<8.5
HD 491	0	9	28.0339	1	14	38.5565	7.401	--
--	0	4	46.2738	1	32	12.8174	8.219	--
--	0	6	8.0519	0	7	17.1028	8.340	--
HD 422	0	8	52.2410	0	41	32.8350	7.497	--
HD 225028	0	2	47.1770	2	7	48.4602	7.399	--
--	0	0	39.1036	0	13	22.5542	8.284	--
--	0	7	39.9989	1	5	39.1350	8.259	--
--	0	10	39.2683	2	18	2.4254	8.298	--
Tyc2 0002 00709 1	0	18	3.6140	0	36	59.9333	7.268	--
HD 1513	0	19	16.6341	0	31	14.0646	7.946	--
HD 1031	0	14	36.5640	1	17	48.6176	7.066	--
HD 633	0	10	40.7227	2	3	19.9323	7.560	--
HD 1329	0	17	28.7729	0	19	16.4378	7.882	--
HD 1228	0	16	39.4224	1	51	2.1881	7.216	--
HD 1565	0	19	57.1079	1	34	57.2130	7.735	--
HD 940	0	13	47.5746	1	23	0.9012	6.917	--
HD 1367	0	17	47.6973	1	41	19.4163	6.281	--
--	0	25	57.2336	1	56	59.4065	8.493	--
HD 2004	0	24	17.3483	1	33	22.1374	7.846	--
44    Psc	0	25	24.2078	1	56	22.8819	5.864	--
HD 224760	0	0	23.5409	2	40	31.7374	7.793	--
--	0	4	37.4678	2	56	14.0148	8.045	--
--	0	8	22.1506	3	26	26.3129	8.109	--
HD 225127	0	3	40.1037	3	54	25.1192	7.932	--
HD 43	0	5	22.2386	3	36	21.9384	7.017	--
HD 543	0	9	54.9958	4	49	57.0446	7.900	--
--	0	8	5.7867	4	55	38.0682	8.285	--
HD 680	0	11	5.6448	4	7	59.1439	7.550	--
HD 1160	0	15	57.3016	4	15	4.0202	7.124	--
HD 1393	0	18	7.8870	3	47	48.3618	7.231	--
--	0	15	51.6385	2	42	8.1801	8.436	--
--	0	27	43.4529	4	36	25.4340	8.097	--
--	0	23	57.0322	3	45	39.6082	8.003	--
HD 1608	0	20	21.6350	4	46	44.3598	7.789	--
HD 1935	0	23	38.5211	2	44	34.9043	7.798	--
HD 1586	0	20	9.5385	3	2	0.7747	7.753	--
HD 2344	0	27	20.2597	2	48	50.7854	7.277	--
--	0	24	33.5943	3	22	26.9639	8.441	--
--	0	20	43.6461	3	26	58.2215	8.203	--
HD 2235	0	26	16.4962	3	49	32.7326	6.872	--
HD 231	0	7	4.1388	6	52	31.9801	7.457	--
HD 224875	0	1	23.1833	6	47	29.2967	7.254	--
--	0	4	41.1358	6	31	20.8247	8.477	--
HD 377	0	8	25.7437	6	37	0.4755	7.662	--
--	0	8	48.4493	5	5	49.5836	8.116	--
--	0	8	49.4943	5	8	26.2878	8.476	--
HD 1133	0	15	38.6222	5	50	37.8142	7.102	--
--	0	15	0.0029	5	35	17.7654	8.479	--
HD 1585	0	20	5.0638	6	17	33.5420	6.966	--
HD 2246	0	26	18.3191	6	5	39.8120	7.896	--
--	0	26	59.6105	7	7	21.6473	8.174	--
--	0	25	47.7277	7	7	59.4251	8.111	--
--	0	45	4.8961	1	47	7.8946	8.136	--
HD 4352	0	45	54.5785	0	34	45.8725	7.781	--
HD 3945	0	42	2.2763	1	1	25.1126	7.943	--
--	0	40	24.2992	1	8	4.1668	8.412	--
--	0	46	52.8570	0	22	36.6908	8.480	--
HD 3951	0	42	6.7216	1	3	48.4169	7.961	--
HD 3906	0	41	33.9976	1	44	52.6302	7.918	--
--	0	43	17.4587	2	3	13.0571	8.021	--
--	0	48	33.2220	0	22	55.3741	8.229	--
HD 4271	0	45	10.9592	0	15	11.8155	7.061	--
--	0	55	1.3994	0	47	22.3918	8.159	--
HD 5544	0	57	13.0379	0	20	32.3859	7.752	--
--	0	57	59.1030	2	29	10.6640	8.065	--
--	0	55	33.1865	0	1	10.4863	8.017	--
--	0	57	42.2207	2	5	37.7476	8.032	--
HD 5588	0	57	39.6557	1	47	8.1923	7.110	--
--	0	57	14.2310	1	21	50.9624	8.308	--
--	0	56	59.6135	0	27	9.6240	8.426	--
HD 5780	0	59	23.3113	0	46	43.5641	7.819	--
--	0	31	49.7526	4	50	46.1936	8.024	--
--	0	35	15.6476	4	5	35.7808	8.069	--
--	0	33	40.9491	4	56	52.3762	8.444	--
Tyc2 0013 00900 1	0	39	46.9454	3	39	9.6129	7.769	--
HD 3228	0	35	28.6284	4	17	40.8200	7.660	--
--	0	31	42.2737	3	45	22.5114	8.313	--
HD 3070	0	33	54.2279	3	19	11.5533	7.588	--
HD 3457	0	37	30.4924	3	8	7.2762	6.564	--
HD 3503	0	38	0.5500	2	45	49.1507	7.794	--
HD 3628	0	39	13.2651	3	8	2.1506	7.411	--
HD 2648	0	30	8.6852	4	51	36.3969	6.556	--
HD 4246	0	44	55.2787	3	12	3.5964	7.965	--
--	0	41	21.2947	3	35	57.8292	8.320	--
--	0	40	49.9209	4	28	41.9210	8.074	--
HD 3972	0	42	23.2267	4	9	59.5926	7.855	--
HD 4094	0	43	23.6472	2	35	2.7388	7.942	--
--	0	50	24.5081	3	22	52.9165	8.383	--
HD 4899	0	51	4.4434	2	44	36.8271	7.687	--
--	0	58	18.8123	4	17	47.7230	8.014	--
HD 5694	0	58	42.4422	4	12	20.8601	7.634	--
HD 5143	0	53	19.4904	4	5	10.4035	7.201	--
HD 4979	0	51	56.2606	4	3	37.0682	7.873	--
HD 4928	0	51	18.3239	3	23	6.0524	6.488	--
HD 3294	0	36	3.6670	7	9	21.5222	7.821	--
HD 3089	0	34	8.3001	5	57	28.4081	7.687	--
--	0	36	57.1032	5	24	45.0024	8.283	--
51    Psc	0	32	23.7746	6	57	19.6768	5.676	--
HD 3992	0	42	32.8108	5	40	31.3003	7.717	--
--	0	45	4.4585	5	10	54.0694	8.221	--
Tyc2 0017 01041 1	0	46	5.7943	6	5	24.6896	7.842	--
HD 4760	0	49	39.9013	6	24	25.7167	7.653	--
60    Psc	0	47	23.6318	6	44	27.4054	6.067	--
96 G. Psc	0	48	22.9772	5	16	50.2595	5.828	--
62    Psc	0	48	17.4106	7	17	59.7427	6.036	--
HD 5654	0	58	19.4544	6	50	39.5035	6.844	--
HD 5820	0	59	49.6857	6	28	59.5970	6.341	--
--	0	51	3.7787	6	53	59.4565	8.041	--
--	0	53	58.2229	5	48	32.9608	8.036	--
HD 5336	0	55	19.5550	6	51	15.2759	7.484	--
--	0	50	28.7340	7	6	7.4519	8.375	--
--	1	4	17.5597	0	36	55.2401	8.338	--
HD 6375	1	4	43.6085	2	18	49.3610	7.334	--
HD 6734	1	7	59.6622	1	59	34.9785	6.541	--
26    Cet	1	3	49.0279	1	22	0.6447	6.097	--
HD 7763	1	17	19.4968	1	50	28.5195	7.714	--
--	1	17	42.5612	1	9	6.5289	8.135	--
HD 7736	1	17	9.7881	2	0	55.0350	7.362	--
HD 7551	1	15	35.6483	0	54	44.8332	6.721	--
33    Cet	1	10	33.5518	2	26	44.4149	6.119	--
HD 7218	1	12	30.6447	2	28	17.6658	6.592	--
HD 8334	1	22	36.9527	1	43	34.7908	6.383	--
--	1	27	23.7878	0	3	27.8247	8.495	--
--	1	29	52.9808	0	22	28.3415	8.257	--
HD 8648	1	25	20.1062	1	27	39.0930	7.469	--
--	1	22	50.2954	0	42	43.3855	8.353	--
HD 6064	1	1	59.6844	2	31	33.4716	7.638	--
HD 5859	1	0	5.6407	2	37	58.6601	7.762	--
HD 6499	1	6	5.7759	3	16	28.8065	7.441	--
--	1	3	25.9936	3	15	20.0484	8.132	--
HD 5929	1	0	50.7016	4	50	2.2458	7.793	--
HD 6464	1	5	41.9059	4	11	54.7445	7.411	--
77    Psc	1	5	49.2376	4	54	30.1460	6.389	--
77    Psc	1	5	51.4277	4	54	33.8466	7.257	--
HD 7991	1	19	24.2975	3	17	22.8940	7.604	--
HD 7660	1	16	35.9813	2	44	5.5073	7.591	--
HD 7855	1	18	15.4160	2	33	2.2350	7.631	--
HD 7919	1	18	52.3753	4	39	13.6300	7.654	--
--	1	17	20.3028	4	23	31.0845	8.438	--
HD 7747	1	17	20.3829	4	39	53.2946	7.946	--
89    Psc	1	17	47.9563	3	36	52.0717	5.147	--
HD 8587	1	24	54.5741	3	20	57.8658	7.365	--
HD 8333	1	22	43.4668	4	44	17.6574	6.976	--
HD 8850	1	27	16.6296	3	48	19.3983	7.772	--
HD 8803	1	26	53.5527	3	32	8.3071	6.650	--
HD 8686	1	25	40.6629	2	58	19.3779	7.023	--
--	1	0	30.4294	7	21	13.9978	8.167	--
HD 6277	1	3	47.1510	6	45	53.3852	7.138	--
HD 6019	1	1	39.6135	7	18	19.0535	7.822	--
HD 6374	1	4	50.4334	7	2	45.3652	7.986	--
--	1	5	31.1114	6	4	15.1774	8.410	--
--	1	2	24.5650	5	3	41.2861	8.307	--
HD 6266	1	3	40.6742	5	14	7.4710	7.769	--
73    Psc	1	4	52.6382	5	39	22.5459	6.190	--
--	1	18	57.4322	7	25	49.5156	8.123	--
HD 7782	1	17	35.5681	5	53	3.4432	7.763	--
HD 7529	1	15	33.4084	6	57	22.2316	7.830	--
HD 7355	1	13	51.6042	5	8	30.6098	7.746	--
--	1	19	3.5464	5	2	15.1125	8.127	--
--	1	16	44.4751	5	3	20.2642	8.011	--
--	1	19	44.6825	6	9	42.8295	8.067	--
88    Psc	1	14	42.3915	6	59	42.4767	6.145	--
--	1	27	21.7829	6	57	44.6511	8.448	--
HD 9024	1	29	3.0967	7	17	38.7248	6.582	--
HD 8357	1	22	56.7582	7	25	9.3179	7.424	--
HD 8302	1	22	23.4256	5	15	4.9774	7.517	--
--	1	23	46.8754	6	29	56.6300	8.389	--
--	1	24	25.3915	6	29	3.4816	8.180	--
Tyc2 0027 00801 1	1	22	46.8889	6	25	55.4952	7.999	--
HD 8875	1	27	39.8056	5	21	10.0194	7.121	--
--	1	34	34.9445	0	13	57.4407	8.017	--
--	1	32	58.8870	0	7	36.9085	8.264	--
--	1	35	2.0177	0	1	9.7303	8.161	--
HD 10165	1	39	25.1047	0	36	43.6546	7.681	--
--	1	35	55.8138	1	16	30.4582	8.310	--
--	1	32	18.5297	1	34	19.3553	8.142	--
HD 9670	1	34	48.8641	0	56	41.1526	6.955	--
HD 10930	1	47	21.6774	0	48	44.0037	7.910	--
HD 11088	1	49	0.3382	1	19	53.5122	7.404	--
HD 10467	1	42	10.3671	2	18	28.8728	7.532	--
--	1	40	52.0529	1	37	42.1459	8.414	--
--	1	48	17.0525	0	27	7.7298	8.140	--
HD 10955	1	47	35.8652	0	9	18.8208	7.917	--
--	1	43	46.9120	0	54	8.8510	8.017	--
--	1	59	10.3386	0	30	24.9007	8.308	--
--	1	51	34.3700	2	23	10.0954	8.296	--
